"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Maternal Exposure to IPV at any time","IPF(2a)-III","584","0","1","-0.54","-0.62","-0.08 (-0.17, 0.01)","0.1*"
"4","","2,3-dinor-iPF(a2)-III","580","0","1","1.69","1.65","-0.04 (-0.09, 0.01)","0.11*"
"5","","iPF(2a)-VI","584","0","1","2.6","2.55","-0.05 (-0.12, 0.03)","0.21"
"6","","8,12-iso-iPF(2a)-VI","582","0","1","2.43","2.33","-0.1 (-0.19, -0.01)","0.03*"
"7","","Compiled F2-isoprostanes Score","582","0","1","3.01","2.87","-0.13 (-0.26, -0.01)","0.04*"
"8","","Pre to post-stress change in sAA","668","0","1","2.52","2.02","-0.49 (-1.41, 0.43)","0.3"
"9","","Pre-Stressor SAA","712","0","1","3.88","3.93","0.05 (-0.08, 0.18)","0.45"
"10","","Post-Stressor SAA","686","0","1","4.53","4.52","0 (-0.15, 0.14)","0.95"
"11","","Change in Cortisol","659","0","1","0.01","0.01","0 (0, 0)","0.99"
"12","","Pre-Stressor Cortisol","720","0","1","-1.92","-2","-0.08 (-0.19, 0.02)","0.12"
"13","","Post-Stressor Cortisol","665","0","1","-1.18","-1.3","-0.12 (-0.27, 0.02)","0.1"
"14","","Mean Arterial Pressure","1451","0","1","65.29","65.5","0.21 (-0.5, 0.93)","0.57"
"15","","Resting Heart Rate","1445","0","1","110.29","110.81","0.52 (-1.19, 2.24)","0.56"
"16","","Entire promoter region (39 assayed CpG sites)","679","0","1","-5.83","-5.8","0.03 (-0.08, 0.14)","0.59"
"17","","NGFI-A transcription factor binding site (CpG site #12)","405","0","1","-4.44","-4.44","0 (-0.08, 0.09)","0.97"
