"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Maternal Exposure to IPV at any time","IPF(2a)-III","584","0","1","-0.54","-0.62","-0.08 (-0.17, 0.01)","0.1","0.17"
"4","","2,3-dinor-iPF(a2)-III","580","0","1","1.7","1.66","-0.04 (-0.09, 0.01)","0.13","0.17"
"5","","iPF(2a)-VI","584","0","1","2.54","2.49","-0.04 (-0.11, 0.03)","0.28","0.28"
"6","","8,12-iso-iPF(2a)-VI","582","0","1","2.42","2.33","-0.1 (-0.19, -0.01)","0.03","0.11"
"7","","Compiled F2-isoprostanes Score","582","0","1","2.91","2.78","-0.13 (-0.25, 0)","0.04","0.11"
"8","","Pre to post-stress change in slope of sAA","668","0","1","-2.87","-2.28","0.59 (-0.32, 1.51)","0.2","0.82"
"9","","Pre-Stressor SAA","712","0","1","3.94","3.98","0.04 (-0.09, 0.17)","0.54","0.86"
"10","","Post-Stressor SAA","686","0","1","4.6","4.58","-0.02 (-0.16, 0.12)","0.8","0.99"
"11","","Change in Slope of Cortisol","659","0","1","-0.01","-0.01","0 (0, 0)","0.99","0.99"
"12","","Pre-Stressor Cortisol","720","0","1","-1.92","-2","-0.08 (-0.19, 0.02)","0.12","0.74"
"13","","Post-Stressor Cortisol","665","0","1","-1.11","-1.23","-0.12 (-0.26, 0.03)","0.12","0.74"
"14","","Mean Arterial Perssure","1451","0","1","65.28","65.5","0.21 (-0.5, 0.93)","0.57","0.86"
"15","","Resting Heart Rate","1445","0","1","109.68","110.32","0.64 (-1.07, 2.35)","0.47","0.86"
"16","","Entire promoter region (39 assayed CpG sites)","717","0","1","0.38","0.4","0.02 (-0.02, 0.07)","0.37","0.86"
"17","","NGFI-A transcription factor binding site (CpG site #12)","405","0","1","-4.44","-4.44","0 (-0.08, 0.09)","0.97","0.99"
