"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","CES-D score at Year 1","IPF(2a)-III","683","6","16","-0.47","-0.45","0.02 (-0.05, 0.1)","0.58","0.58","-0.53","-0.55","-0.02 (-0.1, 0.06)","0.6","0.6"
"4","","2,3-dinor-iPF(a2)-III","683","6","16","1.66","1.69","0.03 (0, 0.06)","0.05","0.09","1.67","1.7","0.03 (0, 0.05)","0.09","0.2"
"5","","iPF(2a)-VI","683","6","16","2.45","2.51","0.06 (0.02, 0.1)","0","0.03","2.54","2.59","0.05 (0.01, 0.09)","0.02","0.09"
"6","","8,12-iso-iPF(2a)-VI","683","6","16","2.37","2.41","0.05 (0, 0.1)","0.08","0.1","2.4","2.44","0.04 (-0.01, 0.09)","0.1","0.2"
"7","","Compiled F2-isoprostanes Score","683","6","16","2.8","2.89","0.09 (0.02, 0.16)","0.01","0.05","2.78","2.86","0.09 (0.01, 0.16)","0.02","0.09"
"8","","Pre to post-stress change in slope of sAA","687","6","16","3.29","4.65","1.36 (0.19, 2.52)","0.02","0.12","1.9","3.32","1.42 (0.25, 2.59)","0.02","0.08"
"9","","Pre-Stressor SAA","732","6","16","3.98","4.01","0.03 (-0.04, 0.11)","0.4","0.56","3.86","3.91","0.05 (-0.03, 0.12)","0.23","0.4"
"10","","Post-Stressor SAA","699","6","16","4.55","4.63","0.07 (-0.01, 0.16)","0.1","0.27","4.42","4.52","0.1 (0.01, 0.18)","0.03","0.08"
"11","","Change in Slope of Cortisol","678","6","16","0.01","0","0 (0, 0)","0.08","0.25","0.01","0.01","0 (0, 0)","0.16","0.31"
"12","","Pre-Stressor Cortisol","737","6","16","-2.04","-2.06","-0.03 (-0.09, 0.04)","0.42","0.56","-1.95","-1.98","-0.03 (-0.09, 0.03)","0.34","0.46"
"13","","Post-Stressor Cortisol","684","6","16","-1.33","-1.44","-0.11 (-0.21, -0.01)","0.03","0.12","-1.16","-1.27","-0.1 (-0.2, -0.01)","0.03","0.08"
"14","","Mean Arterial Pressure","1485","6","16","64.75","65.06","0.32 (-0.22, 0.86)","0.25","0.44","64.93","65.4","0.47 (0.05, 0.89)","0.03","0.08"
"15","","Resting Heart Rate","1488","6","16","109.76","109.64","-0.12 (-1.12, 0.87)","0.82","0.82","107.04","108.23","1.19 (-1.25, 3.64)","0.34","0.46"
"16","","Entire promoter region (39 assayed CpG sites)","688","6","15","-5.85","-5.89","-0.03 (-0.19, 0.12)","0.67","0.8","-5.82","-5.88","-0.07 (-0.23, 0.09)","0.43","0.54"
"17","","NGFI-A transcription factor binding site (CpG site #12)","414","5.25","15","-4.38","-4.41","-0.04 (-0.09, 0.01)","0.13","0.31","-4.41","-4.45","-0.04 (-0.09, 0.01)","0.14","0.3"
"18","","","","","","","","","","","","","","",""
"19","CES-D score at Year 2","Pre to post-stress change in slope of sAA","675","5","17","4.21","2.71","-1.5 (-2.9, -0.09)","0.04","0.37","2.74","1.59","-1.15 (-2.57, 0.28)","0.11","0.53"
"20","","Pre-Stressor SAA","716","5","17","3.98","3.99","0.01 (-0.14, 0.15)","0.94","0.94","3.84","3.92","0.08 (0.01, 0.16)","0.03","0.53"
